Ультрабук Asus ZenBook 3 UX390U i5 8Gb 512Gb;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_zenbook_3_ux390u_i5_8gb_512gb_1389276914;59 000;м. Садовая
Ультрабук lenovo 710s Plus-13ISK;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_lenovo_710s_plus-13isk_955836802?slocation=653240;41 000;
Ультрабук трансформер Acer r3 471tg 52yz;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_transformer_acer_r3_471tg_52yz_964460196?slocation=653240;21 000;
Ультрабук Asus ZenBook Flip UX360CA-C4112TS;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_zenbook_flip_ux360ca-c4112ts_1228399656;45 000;м. Комендантский проспект
Ультрабук SAMSUNG 530u3c по запчастям;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_samsung_530u3c_po_zapchastyam_778540805;9 850 ;м. Проспект Просвещения
Ультрабук microXperts i5-3317u;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_microxperts_i5-3317u_1530446805?slocation=653240;22 000;
"Нов.Ультрабук Asus Zenbook UX305 Core M, SSD, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/nov.ultrabuk_asus_zenbook_ux305_core_m_ssd_13_1079692150;42 000;м. Новочеркасская
Тонкий ультрабук SAMSUNG i5-6200, ssd 256;https://www.avito.ru/sankt-peterburg/noutbuki/tonkiy_ultrabuk_samsung_i5-6200_ssd_256_1053369261?slocation=653240;28 000;
Ультрабук HP EliteBook Folio 9470m core i5-3437U;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_elitebook_folio_9470m_core_i5-3437u_1108297662;28 000;м. Площадь Мужества
HP EliteBook 840 G1 ультрабук;https://www.avito.ru/sankt-peterburg/noutbuki/hp_elitebook_840_g1_ultrabuk_1142472587;22 000;м. Комендантский проспект
"Нов.Ультрабук Zenbook UX310UA Core i7, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/nov.ultrabuk_zenbook_ux310ua_core_i7_13_1057686628;46 800;м. Новочеркасская
